Object Number,Object ID,Object Name,Title,Culture,Period,Object Date,Object Begin Date,Object End Date,location,Link Resource
74.51.544,240131,Jug,Terracotta jug with a pitcher-spout,Cypriot,Hellenistic,310--150 B.C.,-310,-150,Cyprus,http://www.metmuseum.org/art/collection/search/240131
07.286.23,247903,Statuette of Nike flying,"Terracotta statuette of Nike, the personification of victory",Greek,Classical,late 5th century B.C.,-430,-400,Greece,http://www.metmuseum.org/art/collection/search/247903
81.6.17,244888,Intaglio,Agate ring stone,Greek,Hellenistic,3rd century B.C.,-299,-200,Greece,http://www.metmuseum.org/art/collection/search/244888
61.191.3,255117,Amphoriskos,Terracotta amphoriskos (oil flask),"Greek, Attic",Late Classical,4th century B.C.,-399,-300,Greece,http://www.metmuseum.org/art/collection/search/255117
74.51.2582,242133,Statue of a sphinx supporting a votive bowl,Limestone sphinx supporting a votive bowl,Cypriot,Archaic,late 6th or early 5th century B.C.,-525,-480,Cyprus,http://www.metmuseum.org/art/collection/search/242133
74.51.2664,242215,Statuette of a hound seizing a hare,Limestone votive statuette of a hound seizing a hare,Cypriot,Classical or Hellenistic,5th--1st century B.C.,-480,-1,Cyprus,http://www.metmuseum.org/art/collection/search/242215
1992.266.19,256156,"Vase, ovoid",Rock-crystal ovoid vessel with wide mouth,"Greek, Eastern Mediterranean",Late Classical or Early Hellenistic,4th--3rd century B.C.,-399,-200,Greece,http://www.metmuseum.org/art/collection/search/256156
1983.535.106,326845,Stamp seal,Compartmented stamp seal,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326845
1974.47.3,326147,Earring,Earring,Parthian,Parthian,ca. 1st century B.C.--1st century A.D. ,-100,100,Iran (?),http://www.metmuseum.org/art/collection/search/326147
X.21.83,256651,Olpe,Bronze oinochoe: olpe (jug),Etruscan,Archaic,6th century B.C.,-599,-500,Italy,http://www.metmuseum.org/art/collection/search/256651
1989.281.44,327431,Pin,Pin,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2250,-1750,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/327431
1989.42,255916,"Kylix fragments, 2","Two fragments of a terracotta kylix, join 1979.11.8","Greek, Attic",Archaic,ca. 490 B.C.,-490,-490,Greece,http://www.metmuseum.org/art/collection/search/255916
14.89.11,248870,Jar,Terracotta juglet,Minoan,Late Minoan IIIA2,ca. 1375--1300 B.C.,-1375,-1300,Crete,http://www.metmuseum.org/art/collection/search/248870
1978.261.3,326508,Stamp seal,Compartmented stamp seal,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326508
17.230.25,250559,"Bust of a satyr, chariot attachment",Bronze bust of a young satyr,Roman,Imperial,first half of the 2nd century A.D.,100,150,Italy,http://www.metmuseum.org/art/collection/search/250559
91.1.2033,257372,"Fragment, mosaic",Glass mosaic fragment,"Greek, Eastern Mediterranean",Hellenistic,ca. 2nd century B.C.,-199,-100,Greece,http://www.metmuseum.org/art/collection/search/257372
81.10.52,245209,"Bottle, fusiform",Glass fusiform bottle,Roman,Late Imperial,mid-3rd--4th century A.D.,250,399,Italy,http://www.metmuseum.org/art/collection/search/245209
74.51.4286,243698,Intaglio,Carnelian ring stone,Roman,Imperial,1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/243698
98.11.75a--e,246828,Bead ornaments,"Bead ornaments, square, 7",Roman,Late Imperial,3rd century A.D.,200,299,Italy,http://www.metmuseum.org/art/collection/search/246828
74.51.3055,242488,Roundel,Gold roundel of bulbous form,Cypriot,Late Bronze Age,ca. 1600--1050 B.C.,-1600,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/242488
01.16.1,246972,Furniture or vessel ornament with lions,Bronze applique,Greek,Archaic,late 7th--6th century B.C.,-650,-500,Greece,http://www.metmuseum.org/art/collection/search/246972
"32.145a, b",322626,Door lintel,Door lintel with lion-griffins and vase with lotus leaf,Parthian,Parthian,ca. 2nd--early 3rd century A.D. ,100,220,Mesopotamia,http://www.metmuseum.org/art/collection/search/322626
65.76.2,255204,"Necklace with 26 beads, 25 pendants",Terracotta necklace with palmette and lotus pendants,Etruscan,Hellenistic,3rd century B.C.,-299,-200,Italy,http://www.metmuseum.org/art/collection/search/255204
91.1.1931,257323,"Fragment, striped mosaic",Glass striped mosaic fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257323
24.195.102,251668,"Statuette of a horse, 3",Lead figure of a horse,"Greek, Laconian",Archaic,6th--5th century B.C.,-599,-400,Greece,http://www.metmuseum.org/art/collection/search/251668
35.11.13,253490,Cup,Terracotta cup,"Greek, Attic",Geometric,ca. 800--750 B.C.,-800,-750,Greece,http://www.metmuseum.org/art/collection/search/253490
10.210.17f,248305,Kylix fragment,Kylix fragment,"Greek, Attic",Late Classical,ca. 360--340 B.C.,-360,-340,Greece,http://www.metmuseum.org/art/collection/search/248305
74.51.5851,244726,"Jar, squat",Terracotta squat alabastron (jar),Mycenaean,Late Helladic IIIB,ca. 13th century B.C.,-1299,-1200,Greece,http://www.metmuseum.org/art/collection/search/244726
42.11.17,254460,Barrel seal,Agate barrel,Greek,Classical,2nd half of the 5th century B.C.,-450,-400,Greece,http://www.metmuseum.org/art/collection/search/254460
74.51.808,240395,Plate,Plate,Cypriot,Cypro-Archaic I ?,750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/240395
91.1.1702,257052,"Fragment, striped mosaic",Glass striped mosaic bowl fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257052
7.259,247873,Mirror with Eros,Bronze box mirror,Greek,Late Classical,mid-4th century B.C.,-375,-325,Greece,http://www.metmuseum.org/art/collection/search/247873
91.1.1294,245682,Beaker,Glass beaker,Roman,Late Imperial,4th century A.D.,300,399,Italy,http://www.metmuseum.org/art/collection/search/245682
26.31.101,252053,Seal,Steatite triangular prism,Minoan,Early Minoan III-Middle Minoan II,ca. 2400--1750 B.C.,-2400,-1750,Crete,http://www.metmuseum.org/art/collection/search/252053
1995.85.3--.7,256216,"Earrings, 5",Five gold earrings with spherical elements,Roman,Late Republic or Early Imperial,1st century B.C.--1st century A.D.,-99,99,Italy,http://www.metmuseum.org/art/collection/search/256216
74.51.1230,240817,Juglet,Terracotta vessel,Egyptian,Late Bronze Age,ca. 1600 B.C.,-1600,-1600,Egypt,http://www.metmuseum.org/art/collection/search/240817
41.162.253,254424,"Oinochoe, ribbed",Terracotta oinochoe (jug),Etruscan,Late Classical,4th--3rd century B.C.,-399,-200,Italy,http://www.metmuseum.org/art/collection/search/254424
74.51.1600,241156,Statuette of dancers from a ring dance,Group of three standing male figures,Cypriot,Cypro-Archaic II,6th century B.C.(?),-599,-500,Cyprus,http://www.metmuseum.org/art/collection/search/241156
41.162.158,254329,Aryballos,Terracotta aryballos (oil flask),"Greek, Corinthian",Early Corinthian,ca. 620--590 B.C.,-620,-590,Greece,http://www.metmuseum.org/art/collection/search/254329
03.24.1,247072,Jug with Etruscan inscription,Bronze oinochoe (jug),Etruscan,Hellenistic,early 3rd century B.C.,-299,-270,Italy,http://www.metmuseum.org/art/collection/search/247072
19.192.81.37,250844,Volute-krater fragment,Volute-krater fragment,"Greek, South Italian, Apulian",Late Classical,4th century B.C.,-399,-300,Italy,http://www.metmuseum.org/art/collection/search/250844
13.231.1,248803,Portrait bust of a man,Marble portrait bust of a man,Roman,Late Trajanic or Early Hadrianic,ca. A.D. 110--138,110,138,Italy,http://www.metmuseum.org/art/collection/search/248803
1983.524.4,255786,Kylix fragment,Fragment of a terracotta kylix (drinking cup),"Greek, Attic",Archaic,ca. 520--510 B.C.,-520,-510,Greece,http://www.metmuseum.org/art/collection/search/255786
74.51.1856,241411,Lamp,Terracotta lamp,Roman,Mid Imperial,2nd century A.D.,100,199,Italy,http://www.metmuseum.org/art/collection/search/241411
81.10.324,245474,"Perfume bottle, marbled",Glass perfume bottle,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/245474
74.51.3880,243298,"Earring, crescent-shaped",Gold crescent-shaped earring,Cypriot,Classical-Roman,5th century B.C.--1st century A.D.,-499,99,Cyprus,http://www.metmuseum.org/art/collection/search/243298
93.17.57,322197,Stamp seal,Scaraboid seal,Assyrian,Neo-Assyrian,ca. 8th century B.C.,-800,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/322197
93.17.126,322258,Amulet,Amulet,Assyrian,Neo-Assyrian,ca. 8th century B.C.,-800,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/322258
74.51.170,239755,Perfume bottle,Glass perfume bottle,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/239755
74.51.4167,243580,"Ring, pendant, with scarab",Silver pendant ring with agate scarab,Cypro-Phoenician,Classical,5th--4th century B.C.,-499,-300,Cyprus,http://www.metmuseum.org/art/collection/search/243580
26.31.400,252328,Spindle whorl,Rock crystal spindle whorl,Minoan,Middle Minoan I-Late Minoan I,ca. 2200--1450 B.C.,-2200,-1450,Crete,http://www.metmuseum.org/art/collection/search/252328
74.51.142,239727,Jug with trefoil rim,Glass jug,Roman,Early to Mid Imperial,mid-1st--2nd century A.D.,50,150,Italy,http://www.metmuseum.org/art/collection/search/239727
54.117.4,324325,Mud impression ,Mud impression of ivory handle 54.117.3,Assyrian,Neo-Assyrian,ca. 8th century B.C.,-800,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/324325
74.51.1237,240824,Jug,Terracotta jug,Cypriot,Middle Cypriot III,ca. 1725--1600 B.C.,-1725,-1600,Cyprus,http://www.metmuseum.org/art/collection/search/240824
96.18.172,246667,"Statuette of a woman, dancer","Statuette of a woman, dancer",South Italian,Hellenistic,3rd--2nd century B.C.,-299,-100,Italy,http://www.metmuseum.org/art/collection/search/246667
17.194.434,249671,Pendant,Glass pendant,Roman,Late Imperial,3rd--4th century A.D.,200,399,Italy,http://www.metmuseum.org/art/collection/search/249671
74.51.174,239759,Perfume bottle,Glass perfume bottle,Roman,Mid Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/239759
89.2.558,245503,Ring with bust of Serapis,Bronze ring with bust of Serapis,Roman,Imperial,1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/245503
17.194.2077,250419,Vase fragment,Terracotta fragment from the rim of a vase,Roman,Late Imperial,2nd half of the 3rd century A.D.,250,299,Italy,http://www.metmuseum.org/art/collection/search/250419
96.9.482,246476,Whorl,Whorl,Etruscan or Italic,Late Geometric,7th century B.C.,-700,-601,Italy,http://www.metmuseum.org/art/collection/search/246476
58.31.18,324754,Knob,Knob,Assyrian,Neo-Assyrian,ca. 8th century B.C.,-800,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/324754
74.51.5300,244179,Arrowhead,Bronze arrowhead,Cypriot,Late Bronze Age,ca. 1450--1050 B.C.,-1450,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/244179
1977.234.5,326237,Whorl,Spindle whorl,Edomite,Iron Age,1st millennium B.C.,-1000,-1,Levant,http://www.metmuseum.org/art/collection/search/326237
81.10.226,245378,Cup in the form of a head of a Negro,Glass cup in the form of the head of an African,Roman,"Early Imperial, Flavian",2nd half of 1st century A.D.,50,100,Italy,http://www.metmuseum.org/art/collection/search/245378
74.51.603,240190,Composite lid,Composite lid,Cypriot,Cypro-Archaic I--II,750--480 B.C.,-750,-480,Cyprus,http://www.metmuseum.org/art/collection/search/240190
96.9.100,246171,Cup,Cup,Etruscan,Archaic,ca. 550--500 B.C.,-550,-500,Italy,http://www.metmuseum.org/art/collection/search/246171
11.212.28,248609,Statuette of a girl dancing,Terracotta statuette of a girl dancing,"Greek, South Italian, Tarentine",Hellenistic,3rd century B.C.,-299,-200,Italy,http://www.metmuseum.org/art/collection/search/248609
X.21.12,256597,Askos in the form of a dog,Terracotta askos in the form of a dog,Greek,Hellenistic,2nd--1st century B.C.,-199,-1,Greece,http://www.metmuseum.org/art/collection/search/256597
"95.15.188, .189",245866,"Earring, trumpet-shaped",Gold earrings,Etruscan,Classical,4th--3rd century B.C.,-399,-200,Italy,http://www.metmuseum.org/art/collection/search/245866
81.10.219,245371,Miniature transport amphora,Glass amphoriskos with horizontal ribs,Roman,"Early Imperial, Flavian",2nd half of 1st century A.D.,50,99,Italy,http://www.metmuseum.org/art/collection/search/245371
74.51.1842,241397,Lamp,Terracotta lamp with gladiatorials weapons,"Roman, Cypriot",Early Imperial,ca. A.D. 40--100,40,100,Cyprus,http://www.metmuseum.org/art/collection/search/241397
30.115.50,253100,Perfume bottle,Glass perfume bottle,Roman,Imperial,late 1st--3rd century A.D.,80,299,Italy,http://www.metmuseum.org/art/collection/search/253100
59.107.16,324936,Furniture element,Cloisonne furniture plaque with an infant on a lotus flower,Assyrian,Neo-Assyrian,ca. 8th century B.C.,-800,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/324936
74.51.712,240299,"Jug, barrel-shaped","Jug, barrel-shaped",Cypriot,Cypro-Archaic I,750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/240299
60.145.4,325082,Horse blinker,Horse blinker carved in relief with a wedjat eye,Assyrian,Neo-Assyrian,ca. 8th century B.C.,-800,-700,Mesopotamia,http://www.metmuseum.org/art/collection/search/325082
6.1149,247567,Statuette of a woman,Statuette of a woman,"Greek, Boeotian",Hellenistic,mid-3rd century B.C.,-275,-225,Greece,http://www.metmuseum.org/art/collection/search/247567
1986.311.41,327244,Cylinder seal,Cylinder seal and modern impression: seated figure approached by a goddess leading a worshiper,Old Assyrian Trading Colony,Middle Bronze Age--Old Assyrian Trading Colony,early 2nd millennium B.C.,-1920,-1840,Anatolia,http://www.metmuseum.org/art/collection/search/327244
13.225.28,248778,Statuette of an actor,Terracotta statuette of an actor,"Greek, Attic",Late Classical,late 5th--early 4th century B.C.,-425,-375,Greece,http://www.metmuseum.org/art/collection/search/248778
74.51.3065,242498,Earring or spiral,Gold spiral,Cypriot,Late Bronze Age,ca. 1600--1100 B.C.,-1600,-1100,Cyprus,http://www.metmuseum.org/art/collection/search/242498
26.164.14,252579,Jug,Bronze jug,Lydian,Hellenistic or Imperial,3rd century B.C. or later,-299,1,Turkey,http://www.metmuseum.org/art/collection/search/252579
95.15.294,246041,Pendant in the form of a miniature oinochoe,Glass pendant in the form of a miniature oinochoe,Roman,Late Imperial,ca. 4th century A.D.,300,399,Italy,http://www.metmuseum.org/art/collection/search/246041
54.101.4,324319,Pitcher,Pitcher,Roman,Roman,ca. 2nd century A.D.,100,200,Italy,http://www.metmuseum.org/art/collection/search/324319
10.210.13,248298,Onos,Terracotta onos (leg guard used in carding wool),"Greek, Attic",Archaic,ca. 510--500 B.C.,-510,-500,Greece,http://www.metmuseum.org/art/collection/search/248298
86.11.3,321627,Amulet,Amulet with fighting demons; on reverse: Ishtar enthroned and worshiper,Assyrian,Neo-Assyrian,ca. 8th--7th century B.C.,-800,-600,Mesopotamia,http://www.metmuseum.org/art/collection/search/321627
74.51.5303,244182,Dagger blade,Dagger blade,Cypriot,Early Bronze Age,ca. 3000--2000 B.C.,-2999,-2000,Cyprus,http://www.metmuseum.org/art/collection/search/244182
55.137.29,324468,Axe,Axe head,Hattian,Early Bronze Age III,ca. 2300--2000 B.C.,-2300,-2000,Central Anatolia,http://www.metmuseum.org/art/collection/search/324468
16.75.15,249084,Bowl,Shallow terracotta bowl,Lydian,Archaic,6th century B.C.,-599,-500,Turkey,http://www.metmuseum.org/art/collection/search/249084
74.51.185,239770,Perfume bottle,Glass perfume bottle,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/239770
21.88.118,257714,Cuirass fittings,"Bronze elliptical leaf, perhaps a waist ornament","Etruscan, Vulci",Classical,5th century B.C.,-499,-400,Italy,http://www.metmuseum.org/art/collection/search/257714
74.51.1703,241258,"Statuette of a votary, female",Head and upper body of a female figurine,Cypriot,Cypro-Archaic II,6th century B.C.,-599,-500,Cyprus,http://www.metmuseum.org/art/collection/search/241258
81.6.31,244902,Intaglio,Garnet ring stone,Italic,Hellenistic,1st century B.C.,-100,-1,Italy,http://www.metmuseum.org/art/collection/search/244902
74.51.348,239933,Bracelet,Glass bracelet,Roman,Late Imperial,ca. 4th--5th century A.D.,300,499,Italy,http://www.metmuseum.org/art/collection/search/239933
34.132.42,253468,"Cosmetic flask, double",Glass double cosmetic flask (kohl tube),Roman,Late Imperial,4th century A.D.,300,399,Italy,http://www.metmuseum.org/art/collection/search/253468
86.16.5,322130,Sculpture,Figure of a woman,Parthian,Parthian,ca. 2nd century B.C.--3rd century A.D.,-2,-2,Mesopotamia,http://www.metmuseum.org/art/collection/search/322130
